Unnamed: 0,price,full_address,zipcode,beds,baths,latitude,longitude
3012,419999,"5120 Jay St NE, Washington, DC 20019",20019,3,2,38.90199,-76.92591
3013,139000,"5106 F St SE APT 8, Washington, DC 20019",20019,2,1,38.8817,-76.92831
3014,145000,"2010 38th St SE APT 202, Washington, DC 20020",20020,2,1,38.86457,-76.95201
3015,479000,"401 13th St NE APT 111, Washington, DC 20002",20002,1,1,38.89497,-76.98808
3016,789900,"1331 Childress St NE, Washington, DC 20002",20002,4,4,38.90598,-76.98323
3017,305000,"5208 F St SE APT 1, Washington, DC 20019",20019,2,2,38.88159,-76.92787
3018,574999,"2467 Elvans Rd SE, Washington, DC 20020",20020,4,4,38.85439,-76.98894
3019,549000,"2644 Stanton Rd SE, Washington, DC 20020",20020,4,4,38.85832,-76.988
3020,474900,"629 18th St NE, Washington, DC 20002",20002,2,2,38.8976,-76.97775
3021,649900,"401 56th St NE, Washington, DC 20019",20019,4,3,38.89483,-76.92024
3023,525000,"1236 18th St NE APT 2, Washington, DC 20002",20002,3,3,38.90663,-76.97829
3024,399999,"4310 G St SE, Washington, DC 20019",20019,2,2,38.88059,-76.94297
3025,423000,"1811 Erie St SE, Washington, DC 20020",20020,3,2,38.85711,-76.97837
3026,495000,"4618 Hayes St NE, Washington, DC 20019",20019,4,3,38.8999,-76.93576
3028,489000,"4639 A St SE, Washington, DC 20019",20019,3,3,38.88847,-76.93471
3078,1900000,"4200 Massachusetts Ave NW APT 106, Washington, DC 20016",20016,3,4,38.93509,-77.0831
3079,649000,"5230 Georgia Ave NW #402, Washington, DC 20011",20011,3,3,38.95373,-77.02793
3081,515000,"2125 14th St NW APT 304, Washington, DC 20009",20009,1,1,38.91859,-77.03163
3084,357001,"2100 19th St NW APT 103, Washington, DC 20009",20009,1,1,38.91777,-77.04454
3085,645000,"3020 Warder St NW, Washington, DC 20001",20001,3,2,38.929085,-77.01969
3086,525000,"2220 20th St NW APT 32, Washington, DC 20009",20009,1,1,38.91888,-77.04626
3087,279000,"4000 Cathedral Ave NW #531B, Washington, DC 20016",20016,1,1,38.92898,-77.07916
3088,620000,"619 Columbia Rd NW, Washington, DC 20001",20001,3,1,38.92845,-77.0216
3089,1374900,"2516 12th St NW, Washington, DC 20009",20009,4,4,38.92288,-77.02832
3090,1199000,"3524 11th St NW, Washington, DC 20010",20010,4,4,38.93333,-77.02883
3091,895000,"4006 14th St NW, Washington, DC 20011",20011,4,4,38.94005,-77.03299
3092,650000,"810 Marietta Pl NW, Washington, DC 20011",20011,5,2,38.95905,-77.02479
3093,789000,"2869 28th St NW #201, Washington, DC 20008",20008,2,2,38.92831,-77.05626
3094,549900,"6305 9th St NW, Washington, DC 20011",20011,3,2,38.96641,-77.0257
3095,1100000,"4125 7th St NW, Washington, DC 20011",20011,4,4,38.94179,-77.02139
3096,315000,"3100 Wisconsin Ave NW APT B12, Washington, DC 20016",20016,1,1,38.93075,-77.07284
3098,1349000,"660 Columbia Rd NW, Washington, DC 20001",20001,6,5,38.92803,-77.0224
3099,1445000,"1408 Buchanan St NW, Washington, DC 20011",20011,5,4,38.94595,-77.03343
3100,675000,"1217 Ingraham St NW, Washington, DC 20011",20011,4,3,38.95429,-77.02848
3101,1249000,"3630 New Hampshire Ave NW, Washington, DC 20010",20010,3,4,38.93497,-77.02564
3103,749900,"4111 Connecticut Ave NW APT 504, Washington, DC 20008",20008,2,2,38.94266,-77.06225
3104,565000,"2125 14th St NW APT 610, Washington, DC 20009",20009,1,1,38.91859,-77.03163
3105,660000,"1354 Euclid St NW APT 302A, Washington, DC 20009",20009,2,2,38.92356,-77.03131
3106,270000,"3900 14th St NW APT 602, Washington, DC 20011",20011,1,1,38.93894,-77.03352
3107,795000,"1526 Spring Pl NW, Washington, DC 20010",20010,4,2,38.9366,-77.03553
3108,819000,"2125 14th St NW APT 624, Washington, DC 20009",20009,2,2,38.91859,-77.03163
3109,799000,"615 Irving St NW #1, Washington, DC 20010",20010,4,3,38.92928,-77.0216
3111,1199000,"5407 13th St NW, Washington, DC 20011",20011,4,4,38.95547,-77.02943
3112,290000,"1708 Newton St NW APT 101, Washington, DC 20010",20010,1,1,38.93405,-77.03911
3113,299000,"804 Taylor St NW APT 107, Washington, DC 20011",20011,1,1,38.94071,-77.02377
3114,429000,"1437 Spring Rd NW APT 11, Washington, DC 20010",20010,2,1,38.93768,-77.03463
3115,1099999,"432 Emerson St NW, Washington, DC 20011",20011,4,4,38.94979,-77.01882
3117,1275000,"533 Shepherd St NW, Washington, DC 20011",20011,6,7,38.94008,-77.02032
3118,1049000,"1354 Quincy St NW, Washington, DC 20011",20011,4,4,38.93738,-77.03162
3119,615000,"1030 Fairmont St NW APT 104, Washington, DC 20001",20001,2,2,38.92462,-77.02663
3120,335000,"1910 Kalorama Rd NW APT 3, Washington, DC 20009",20009,1,1,38.91914,-77.04553
3121,269995,"4201 Cathedral Ave NW APT 212E, Washington, DC 20016",20016,1,1,38.93118,-77.0818
3122,624900,"3035 15th St NW UNIT 403, Washington, DC 20009",20009,1,1,38.92803,-77.03572
3123,329888,"2707 Adams Mill Rd NW APT 208, Washington, DC 20009",20009,1,1,38.92446,-77.04444
3124,749900,"419 Marietta Pl NW, Washington, DC 20011",20011,4,4,38.95964,-77.01898
3125,3795000,"3208 44th St NW, Washington, DC 20016",20016,6,7,38.93274,-77.08644
3126,330000,"4000 Cathedral Ave NW APT 124B, Washington, DC 20016",20016,1,1,38.927944,-77.079796
3127,724900,"658 Farragut St NW, Washington, DC 20011",20011,2,3,38.95082,-77.0218
3128,535000,"2910 Georgia Ave NW APT 104, Washington, DC 20001",20001,2,2,38.92743,-77.02326
3129,1399000,"1631 13th 2 Washington #2, Washington, DC 20009",20009,3,2,38.919853,-77.03722
3130,1100000,"2307 15th St NW APT 2, Washington, DC 20009",20009,2,2,38.91987,-77.03454
3132,589900,"811 Upshur St NW UNIT 8, Washington, DC 20011",20011,2,2,38.94213,-77.02391
3133,1090000,"4023 New Hampshire Ave NW, Washington, DC 20011",20011,4,4,38.94045,-77.0209
3134,549000,"1390 Kenyon St NW APT 321, Washington, DC 20010",20010,2,2,38.92963,-77.03221
3135,1129000,"1744 Lanier Pl NW #3, Washington, DC 20009",20009,3,2,38.9246,-77.04152
3136,1175000,"5522 13th St NW, Washington, DC 20011",20011,5,5,38.95697,-77.02998
3137,849000,"720 Morton St NW, Washington, DC 20010",20010,4,2,38.931973,-77.02427
3138,285000,"4000 Cathedral Ave NW APT 534B, Washington, DC 20016",20016,1,1,38.92833,-77.07979
3139,450000,"929 Florida Ave NW APT 7001, Washington, DC 20001",20001,1,1,38.91887,-77.02448
3140,674500,"754 Lamont St NW UNIT 2, Washington, DC 20010",20010,2,3,38.93074,-77.02514
3143,1049000,"4841 Illinois Ave NW, Washington, DC 20011",20011,4,4,38.94954,-77.02294
3144,429000,"2456 20th St NW APT 208, Washington, DC 20009",20009,1,1,38.92224,-77.04741
3147,824900,"710 Kenyon St NW #1, Washington, DC 20010",20010,4,4,38.92973,-77.02408
3148,1799000,"4303 16th St NW, Washington, DC 20011",20011,7,7,38.94322,-77.03606
3149,425000,"2039 New Hampshire Ave NW #303, Washington, DC 20009",20009,1,1,38.91788,-77.03537
3150,4900000,"4656 Broad Branch Rd NW, Washington, DC 20008",20008,6,7,38.95171,-77.05439
3151,449900,"2400 41st St NW APT 504, Washington, DC 20007",20007,2,1,38.92215,-77.08111
3152,1095000,"903 Quincy St NW #101, Washington, DC 20011",20011,4,4,38.93781,-77.02529
3153,999900,"4111 Connecticut Ave NW PENTHOUSE 604, Washington, DC 20008",20008,2,2,38.94266,-77.06225
3154,750000,"1310 Spring Rd NW PENTHOUSE B, Washington, DC 20010",20010,2,3,38.93612,-77.03014
3155,899900,"710 Otis Pl NW #1, Washington, DC 20010",20010,3,4,38.93447,-77.0226
3156,265000,"4201 Cathedral Ave NW APT 506E, Washington, DC 20016",20016,1,1,38.93118,-77.0818
3157,1129000,"1744 Lanier #3, Washington, DC 20009",20009,3,2,38.92455,-77.04148
3158,368000,"4201 Cathedral Ave NW APT 610W, Washington, DC 20016",20016,1,1,38.93118,-77.0818
3159,3995000,"5003 Warren St NW, Washington, DC 20016",20016,7,7,38.94487,-77.09905
3160,824900,"1354 Euclid St NW #1356-403A, Washington, DC 20009",20009,3,3,38.92356,-77.03131
3161,869000,"926 Euclid St NW, Washington, DC 20001",20001,5,4,38.9238,-77.0252
3163,1300000,"3904 8th St NW, Washington, DC 20011",20011,4,3,38.93902,-77.0235
3166,339000,"4000 Cathedral Ave NW APT 451B, Washington, DC 20016",20016,1,1,38.927708,-77.07996
3168,529000,"1390 Kenyon St NW APT 613, Washington, DC 20010",20010,2,2,38.92963,-77.03221
3170,1300000,"1316 Irving St NW, Washington, DC 20010",20010,6,5,38.92841,-77.03038
3171,1050000,"831 Longfellow St NW, Washington, DC 20011",20011,4,4,38.95757,-77.02524
3172,285000,"4201 Cathedral Ave NW APT 719E, Washington, DC 20016",20016,1,1,38.93118,-77.0818
3174,265000,"1708 Newton St NW APT 104, Washington, DC 20010",20010,1,1,38.934055,-77.03903
3176,379900,"2627 Adams Mill Rd NW APT T3, Washington, DC 20009",20009,1,1,38.92395,-77.0441
3177,1049000,"2228 13th St NW #3, Washington, DC 20009",20009,3,3,38.91992,-77.03
3178,315000,"2939 Van Ness St NW APT 501, Washington, DC 20008",20008,1,1,38.94449,-77.06002
3180,295000,"3026 Wisconsin Ave NW APT 107, Washington, DC 20016",20016,1,1,38.93023,-77.07341
3181,325000,"1308 Clifton St NW APT 115, Washington, DC 20009",20009,1,1,38.92212,-77.03021
3182,1100000,"1613 Irving St NW, Washington, DC 20010",20010,8,4,38.928947,-77.037865
3183,379900,"4201 Cathedral Ave NW APT 607E, Washington, DC 20016",20016,1,1,38.93118,-77.0818
3184,659000,"527 Longfellow St NW UNIT 1, Washington, DC 20011",20011,3,3,38.95767,-77.02094
3185,429900,"4000 Tunlaw Rd NW APT 1030, Washington, DC 20007",20007,2,1,38.92592,-77.07999
3186,840000,"1331 Kenyon St NW APT 3, Washington, DC 20010",20010,3,3,38.93001,-77.03089
3188,405000,"536 Hobart Pl NW, Washington, DC 20001",20001,2,2,38.92779,-77.02178
3189,949000,"5318 5th St NW, Washington, DC 20011",20011,4,4,38.95484,-77.02005
3190,650000,"805 Euclid St NW, Washington, DC 20001",20001,3,2,38.92426,-77.02405
3191,935000,"4200 Massachusetts Ave NW APT 120, Washington, DC 20016",20016,2,3,38.93509,-77.0831
3193,374900,"505 Kennedy St NW UNIT 301, Washington, DC 20011",20011,2,1,38.95665,-77.0202
3194,789000,"2869 28th St NW #301, Washington, DC 20008",20008,2,2,38.92831,-77.05626
3195,1275000,"903 Quincy St NW APT 2, Washington, DC 20011",20011,4,4,38.93781,-77.02529
3196,859000,"755 Columbia Rd NW #3, Washington, DC 20001",20001,3,3,38.92813,-77.02492
3197,975000,"3742 9th St NW, Washington, DC 20010",20010,3,4,38.93706,-77.02556
3198,1244000,"3625 11th St NW, Washington, DC 20010",20010,4,4,38.93522,-77.02826
3199,2250000,"4520 Yuma St NW, Washington, DC 20016",20016,5,5,38.94604,-77.08998
3201,1250000,"501 Allison St NW, Washington, DC 20011",20011,5,4,38.945473,-77.01957
3202,949000,"1430 Monroe St NW, Washington, DC 20010",20010,4,2,38.93136,-77.03381
3204,749900,"705 Taylor St NW #A, Washington, DC 20011",20011,3,4,38.94114,-77.02191
3205,950000,"1226 Irving St NW APT 1, Washington, DC 20010",20010,4,4,38.92835,-77.02875
3206,999000,"910 Madison St NW, Washington, DC 20011",20011,5,4,38.95823,-77.02638
3207,1649900,"1202 Decatur St NW, Washington, DC 20011",20011,5,5,38.94806,-77.02724
3208,649990,"3542 Warder St NW UNIT 302, Washington, DC 20010",20010,2,2,38.93343,-77.02089
3209,674900,"603 Kennedy St NW #4, Washington, DC 20011",20011,3,4,38.95661,-77.0212
3210,1275000,"5703 14th St NW, Washington, DC 20011",20011,7,5,38.95865,-77.03313
3211,1050000,"710 Otis Pl NW #2, Washington, DC 20010",20010,4,3,38.93447,-77.0226
3239,2159984,"5610 35th Road Plan, PCI -22207",22205,6,6,38.89095,-77.15362
3305,1280000,"Blue Diamond - Future Construction Plan, by Botero Homes in Falls Church",22042,3,5,38.87433,-77.182304
3330,2690796,"Beech W Plan, PCI -22207",22205,5,6,38.89095,-77.15362
3353,4087887,"Brentwood B Plan, PCI -22207",22205,6,7,38.89095,-77.15362
3360,1169000,"1305-1315 30th St NW #202, Washington, DC 20007",20007,2,2,38.90715,-77.05902
3361,1349000,"1305-1315 30th St NW #102, Washington, DC 20007",20007,3,4,38.90715,-77.05902
3372,3987887,"Brentwood B Plan, PCI 22205",22205,6,7,38.89095,-77.15362
3373,745000,"2700 Virginia Ave Nw #1109, Washington, DC 22037",22037,1,2,38.900024,-77.05612
3377,3387766,"C Copley Plan, PCI 22205",22205,5,6,38.89095,-77.15362
3381,2754985,"P Winnett Plan, PCI 22205",22205,6,6,38.89095,-77.15362
3387,2485655,"Plainview Plan, PCI 22205",22205,6,5,38.89095,-77.15362
3395,2689984,"Wrightson Plan, PCI 22205",22205,6,6,38.89095,-77.15362
3400,2599605,"P Rockmere Plan, PCI -22207",22205,6,5,38.89095,-77.15362
3401,2655655,"Plainview Plan, PCI -22207",22205,6,5,38.89095,-77.15362
3402,2184982,"Ariel Plan, PCI 22205",22205,5,5,38.89095,-77.15362
3405,3892885,"6317 A 23rd St. Plan, PCI -22207",22205,5,4,38.89095,-77.15362
3410,2387799,"Sycamore Plan, PCI 22205",22205,5,4,38.89095,-77.15362
3412,2466000,"Multi-Plan, PCI -22207",22205,6,4,38.89095,-77.15362
3413,2689984,"Merrimac Plan, PCI 22205",22205,5,5,38.89095,-77.15362
3414,2489988,"Cardiff Plan, PCI -22207",22205,5,5,38.89095,-77.15362
3415,2476998,"Glenrose Plan, PCI 22205",22205,5,5,38.89095,-77.15362
3416,3999954,"Warner Plan, PCI -22207",22205,6,7,38.89095,-77.15362
3418,2667795,"Metro Plan, PCI -22207",22205,5,5,38.89095,-77.15362
