id,full_address,zipcode,latitude,longitude,property_type,price,amenities
4085972,"3018 Warder St NW, Washington, DC 20001, USA",20001,38.92904,-77.01963,Entire Rental Unit,91.0,"['Paid street parking off premises', 'Ceiling fan', 'Hot water', 'Freezer', 'Refrigerator', 'Fire extinguisher', 'Smoke alarm', 'Baking sheet', 'Free street parking', 'Window AC unit', 'Wifi', 'Cooking basics', 'Hair dryer', 'Room-darkening shades', 'Hangers', 'Window guards', 'Shared backyard – Fully fenced', 'Laundromat nearby', 'Essentials', 'Hot water kettle', 'Long term stays allowed', 'Free parking on premises', 'Dishes and silverware', 'Dining table', 'Free washer – In unit', 'Body soap', 'Paid parking lot on premises – 2 spaces', 'Dishwasher', 'Coffee maker', 'Luggage dropoff allowed', 'Shower gel', 'Books and reading material', 'Extra pillows and blankets', 'Dedicated workspace', 'Free dryer – In unit', 'Bed linens', 'Carbon monoxide alarm', 'Self check-in', 'Shampoo', 'Microwave', 'Oven', 'Kitchen', 'Private entrance', 'Exercise equipment', 'Bikes', 'Keypad', 'Conditioner', 'Indoor fireplace: electric', 'Bathtub', '30 inch TV with standard cable', 'Iron', 'Heating', 'Portable fans', 'Gas stove', 'Pets allowed', 'Garden view', 'Coffee', 'Clothing storage: closet', 'Cleaning products']"
4244705,"628 Rhode Island Ave NW, Washington, DC 20001, USA",20001,38.91243,-77.021,Private Room In Rental Unit,108.0,"['Hot water', 'Refrigerator', 'Fire extinguisher', 'Smoke alarm', 'Wifi', 'Hair dryer', 'Hangers', 'Essentials', 'Long term stays allowed', 'Luggage dropoff allowed', 'Extra pillows and blankets', 'Dedicated workspace', 'Bed linens', 'Air conditioning', 'Self check-in', 'Shampoo', 'Private entrance', 'Babysitter recommendations', 'Exterior security cameras on property', 'Keypad', 'Iron', 'Heating', 'TV with Fire TV']"
4427874,"1010 Massachusetts Ave NW, Washington, DC 20001, USA",20001,38.90343,-77.02692,Private Room In Home,68.0,"['Hot water', 'Refrigerator', 'Fire extinguisher', 'Smoke alarm', 'Cooking basics', 'Wifi', 'Hair dryer', 'Hangers', 'Essentials', 'TV', 'Washer', 'Dishes and silverware', 'Dishwasher', 'Coffee maker', 'Lock on bedroom door', 'Patio or balcony', 'Dedicated workspace', 'Air conditioning', 'Stove', 'Self check-in', 'Microwave', 'Oven', 'Kitchen', 'Keypad', 'Iron', 'Heating', 'Dryer']"
4708026,"1600 9th St NW, Washington, DC 20001, USA",20001,38.91223,-77.0242,Entire Home,148.0,"['HDTV', 'Hot water', 'Freezer', 'Refrigerator', 'Smoke alarm', 'Cooking basics', 'Wifi', 'Hair dryer', 'Hangers', 'Essentials', 'Dishes and silverware', 'Free washer – In unit', 'Dishwasher', 'Coffee maker', 'Shower gel', 'Patio or balcony', 'Bed linens', 'Air conditioning', 'Carbon monoxide alarm', 'Stove', 'Outdoor furniture', 'Paid parking on premises – 1 space', 'Shampoo', 'Microwave', 'Oven', 'Kitchen', 'Self check-in', 'Keypad', 'Iron', 'Heating', 'Pets allowed', 'Dryer']"
4730124,"38 Quincy Pl NW, Washington, DC 20001, USA",20001,38.91166,-77.01039,Private Room In Home,102.0,"['Hot water', 'Refrigerator', 'Backyard', 'Fire extinguisher', 'Smoke alarm', 'Free street parking', 'Wifi', 'Hair dryer', 'Hangers', 'Essentials', 'Washer', 'Coffee maker', 'Lock on bedroom door', 'Extra pillows and blankets', 'TV with standard cable', 'Bed linens', 'Air conditioning', 'Carbon monoxide alarm', 'Shampoo', 'Microwave', 'Kitchen', 'First aid kit', 'Iron', 'Heating', 'Free parking on premises', 'Dryer']"
4730309,"77 P St NW, Washington, DC 20001, USA",20001,38.90987,-77.01164,Entire Rental Unit,119.0,"['Hot water', 'Refrigerator', 'Fire extinguisher', 'Smoke alarm', 'Free street parking', 'Cooking basics', 'Wifi', 'Hair dryer', 'Hangers', 'Essentials', 'Washer', 'Dishes and silverware', 'Dishwasher', 'Coffee maker', 'Luggage dropoff allowed', 'TV with standard cable', 'Air conditioning', 'Carbon monoxide alarm', 'Stove', 'Self check-in', 'Shampoo', 'Microwave', 'Oven', 'Kitchen', 'First aid kit', 'Iron', 'Heating', 'Lockbox', 'Dryer']"
5012334,"300 R St NW, Washington, DC 20001, USA",20001,38.91262,-77.01613,Entire Rental Unit,166.0,"['Paid street parking off premises', 'Hot water', 'Refrigerator', 'Fire extinguisher', 'Smoke alarm', 'Free street parking', 'Cooking basics', 'Wifi', 'Hair dryer', 'Hangers', 'Central air conditioning', 'Essentials', 'BBQ grill', 'Long term stays allowed', 'Dishes and silverware', 'Dining table', 'Free washer – In unit', 'Coffee maker', 'Dedicated workspace', 'Free dryer – In unit', 'TV with standard cable', 'Bed linens', 'Carbon monoxide alarm', 'Self check-in', 'Shampoo', 'Private entrance', 'Kitchen', 'Children’s dinnerware', 'Shared backyard – Not fully fenced', 'Indoor fireplace: electric', 'First aid kit', 'Iron', 'Heating', 'Lockbox']"
5262416,"Rhode Island Av NW & 1 St NW, Washington, DC 20001, USA",20001,38.91564,-77.01268,Entire Rental Unit,118.0,"['Electric stove', 'Ceiling fan', 'Hot water', 'Freezer', 'Refrigerator', 'Fire extinguisher', 'Coffee maker: Keurig coffee machine', 'Smoke alarm', 'Baking sheet', 'Free street parking', 'Cooking basics', 'Wifi', 'Hair dryer', 'Room-darkening shades', 'Hangers', 'Central air conditioning', 'Essentials', 'Outlet covers', 'Hot water kettle', 'Toaster', 'Long term stays allowed', 'Dishes and silverware', 'Free washer – In unit', 'Body soap', 'Dishwasher', 'Paid parking lot off premises', 'Board games', 'Fire pit', 'Shower gel', 'Books and reading material', 'Extra pillows and blankets', 'Dedicated workspace', 'Free dryer – In unit', 'TV with standard cable', 'Bed linens', 'Private patio or balcony', 'Clothing storage', 'Carbon monoxide alarm', 'Private backyard – Fully fenced', 'Outdoor furniture', 'Self check-in', 'Shampoo', 'Microwave', 'Oven', 'Kitchen', 'Wine glasses', 'Private entrance', 'Exterior security cameras on property', 'Keypad', 'Outdoor dining area', 'First aid kit', 'Iron', 'Heating', 'Single level home', 'Ethernet connection', 'Garden view', 'Drying rack for clothing', 'Coffee', 'Conditioner', 'Cleaning products']"
5405966,"1501 6th St NW, Washington, DC 20001, USA",20001,38.90977,-77.01967,Entire Townhouse,111.0,"['Hot water', 'Freezer', 'Refrigerator', 'Fire extinguisher', 'Smoke alarm', 'Free street parking', 'Cooking basics', 'Wifi', 'Hair dryer', 'Hangers', 'Essentials', 'Hot water kettle', 'Toaster', 'Long term stays allowed', 'Dishes and silverware', 'Free dryer – In building', 'Dining table', 'Body soap', 'Dishwasher', 'Coffee maker', 'Luggage dropoff allowed', 'Shower gel', 'Stainless steel oven', 'Clothing storage: wardrobe', 'Central heating', 'Dedicated workspace', 'TV with standard cable', 'Bed linens', 'Pack ’n play/Travel crib', 'Air conditioning', 'Carbon monoxide alarm', 'Children’s books and toys', 'Stove', 'Self check-in', 'Shampoo', 'Microwave', 'Private entrance', 'Kitchen', 'Wine glasses', 'Iron', 'Free washer – In building', 'Portable fans', 'Free parking on premises', 'Portable heater', 'Lockbox', 'Conditioner', 'Cleaning products']"
5592949,"1550 7th St NW, Washington, DC 20001, USA",20001,38.91061,-77.02235,Private Room In Rental Unit,126.0,"['Hot water', 'Fire extinguisher', 'Smoke alarm', 'Wifi', 'Hair dryer', 'Hangers', 'Essentials', 'TV', 'Long term stays allowed', 'Luggage dropoff allowed', 'Lock on bedroom door', 'Dedicated workspace', 'Bed linens', 'Pack ’n play/Travel crib', 'Air conditioning', 'Carbon monoxide alarm', 'Self check-in', 'Shampoo', 'Private entrance', 'Babysitter recommendations', 'Keypad', 'Iron', 'Heating']"
